place,category,city,description,type
 Black Box Café,General,Abha,"The Black Box CafÃ© is one of the best and most prestigious cafes located in the Kingdom of Saudi Arabia in Abha. The Black Box CafÃ© offers the best varieties of hot and cold drinks and delicious desserts of all kinds, such as cheesecake, chocolate cake, and others. The cafÃ© is also characterized by its average prices that satisfy many customers. It is very suitable for families and individuals, and children are allowed to enter. The Black Box CafÃ© is characterized by the quality and speed of service and the wonderful reception by customers.",Restaurants & Cafes
5th Bakery,General,Jeddah,"Shop specialize in bakeries, pasteris of all kinds and coffee.",Restaurants & Cafes
9round,Woman,Riyadh,"Change always begins with the will .. Then with the beginning of the first step, and with us we need you to start with the first step only and leave the rest of the steps to us. ",Recreational Sites
Abaya mall,General,Riyadh,One of the newest malls specialized in Arabic abayas only. The biggest mall for abayas,Malls
Abu Khayal Park,General,Abha,Quiet hilltop park with children's playground and benches and sweeping views of the city.,Parks
Acme,General,Al-Ula,"Acmy serves delicious food and distinctive burgers, adding a new and fun flavor to the old town of Al-Ula. Enjoy a delicious and varied menu, from refreshing drinks to delicious snacks, that satisfy all tastes, young and old.",Restaurants & Cafes
Al Raqdi Museum,General,Abha,"It is called the Museum of the Quarter Century, which makes it one of the oldest and most important Abha museums with its rare collections and manuscripts, which number up to two thousand pieces.",Historical Sites
Al Salam Park,Kids,Abha,"It is considered one of the most beautiful entertainment places in Abha, as it offers fun and suitable activities for different age groups. When you visit these amusement parks, you will be amazed by the variety of games and activities, and this will guarantee you a trip full of excitement and adventure that you will not be able to forget.",Recreational Sites
Al Ula museum ,General,Al-Ula,"Al Ula Museum contains a number of maps showing the most important archaeological sites in the region, In addition to a number of drawings representing historical periods in which the region has gone through chronological order, and a number of exhibits consisting of carved stone tools and stone pots.",Historical Sites
Al balad,General,Jeddah,Here is historical Jeddah in its old time. A tour of this region will take you to the ancient past where ancient buildings and history extends for decades. ,Historical Sites
Al-Amer Gallery Museum,General,Alkhobar,"The Al-Amer Gallery Museum is one of the most famous private museums in the eastern region, and its owner has collected a very large number of heritage and archaeological pieces, which attract a large number of visitors. The museum includes old Qurans, old swords, and booklets about the hobby of collecting old stamps, coins, small cars of all kinds, precious stones, rare types of stones, panels, wooden artifacts, and metal and copper pieces.",Historical Sites
Al-Bujairi park,General,Riyadh,"The aim of establishing this park, which is classified as one of the best tourist attractions in Riyadh, is to be an outlet and an ideal place for strolling and to delight its visitors with a range of wonderful activities.",Parks
Al-Rashed Mall,General,Alkhobar,"Explore Al-Rashid Mall in a long tour in the fun world of shopping. You will be welcomed at its gates to start with the wide range of choices. Under its roof, Al-Rashid Mall is where you will find a collection of shops and services that make you want to continue to have fun and stay longer.",Parks
Al-Sanbok Restaurant,General,Alkhobar,"Every day, Al Sanbok Restaurant serves mouth watering cuisine made from the freshest and finest natural ingredients harvested locally and internationally. ",Restaurants & Cafes
Al-Turki strawberry farms,General,Abha,"The farm has a large area and has more than one strawberry reserve, and strawberries can be harvested",Parks
AlRashed mall,General,Abha,Good place ,Malls
